Filters,,,,,,,,,,
Region filter: All,,,,,,,,,,
Infection syndrome filter: Bloodstream,,,,,,,,,,
Bacterial pathogen filter: Klebsiella pneumoniae,,,,,,,,,,
Antibiotic filter: Ceftriaxone,,,,,,,,,,
,,,,,,,,,,
Data for time series,,,,,,,,,,
Year,Specimen,PathogenName,AbTargets,Min,Q1,Median,Q3,Max,,
2017,BLOOD,Klebsiella pneumoniae,Ceftriaxone,5.999824823,42.01476689,50.20857264,79.92481203,100,,
2018,BLOOD,Klebsiella pneumoniae,Ceftriaxone,6.157980837,32.6051507,57.07581892,84.68167702,99.14893617,,
2019,BLOOD,Klebsiella pneumoniae,Ceftriaxone,6.494256191,37.41275026,54.16847905,79.43745588,96.55172414,,
2020,BLOOD,Klebsiella pneumoniae,Ceftriaxone,6.284367636,44.40215421,70.28985507,78.62752828,98.27586207,,
,,,,,,,,,,
,,,,,,,,,,
Data for line plots for individual CTAs,,,,,,,,,,
Iso3,CountryTerritoryArea,WHORegionName,Year,Specimen,PathogenName,AbTargets,TotalSpecimenIsolates,InterpretableAST,Resistant,PercentResistant
MYS,Malaysia,Western Pacific Region,2019,BLOOD,Klebsiella pneumoniae,Ceftriaxone,25194,1613,520,32.23806572
MYS,Malaysia,Western Pacific Region,2020,BLOOD,Klebsiella pneumoniae,Ceftriaxone,20249,1120,367,32.76785714
OMN,Oman,Eastern Mediterranean Region,2017,BLOOD,Klebsiella pneumoniae,Ceftriaxone,1043,249,135,54.21686747
OMN,Oman,Eastern Mediterranean Region,2018,BLOOD,Klebsiella pneumoniae,Ceftriaxone,631,132,78,59.09090909
OMN,Oman,Eastern Mediterranean Region,2019,BLOOD,Klebsiella pneumoniae,Ceftriaxone,1007,363,197,54.26997245
OMN,Oman,Eastern Mediterranean Region,2020,BLOOD,Klebsiella pneumoniae,Ceftriaxone,876,178,138,77.52808989
PAK,Pakistan,Eastern Mediterranean Region,2017,BLOOD,Klebsiella pneumoniae,Ceftriaxone,2323,227,190,83.70044053
PAK,Pakistan,Eastern Mediterranean Region,2018,BLOOD,Klebsiella pneumoniae,Ceftriaxone,7410,110,102,92.72727273
PAK,Pakistan,Eastern Mediterranean Region,2019,BLOOD,Klebsiella pneumoniae,Ceftriaxone,8980,382,331,86.64921466
PAK,Pakistan,Eastern Mediterranean Region,2020,BLOOD,Klebsiella pneumoniae,Ceftriaxone,5623,245,195,79.59183673
PHL,Philippines,Western Pacific Region,2017,BLOOD,Klebsiella pneumoniae,Ceftriaxone,5103,1112,584,52.51798561
PHL,Philippines,Western Pacific Region,2018,BLOOD,Klebsiella pneumoniae,Ceftriaxone,5595,1235,680,55.06072874
PHL,Philippines,Western Pacific Region,2019,BLOOD,Klebsiella pneumoniae,Ceftriaxone,6468,1533,827,53.94651011
PHL,Philippines,Western Pacific Region,2020,BLOOD,Klebsiella pneumoniae,Ceftriaxone,4276,1143,604,52.84339458
SAU,Saudi Arabia,Eastern Mediterranean Region,2017,BLOOD,Klebsiella pneumoniae,Ceftriaxone,1491,406,189,46.55172414
SAU,Saudi Arabia,Eastern Mediterranean Region,2018,BLOOD,Klebsiella pneumoniae,Ceftriaxone,2420,721,496,68.79334258
SAU,Saudi Arabia,Eastern Mediterranean Region,2019,BLOOD,Klebsiella pneumoniae,Ceftriaxone,2528,763,540,70.77326343
SAU,Saudi Arabia,Eastern Mediterranean Region,2020,BLOOD,Klebsiella pneumoniae,Ceftriaxone,2458,673,527,78.30609212
THA,Thailand,South-East Asia Region,2017,BLOOD,Klebsiella pneumoniae,Ceftriaxone,1349,240,106,44.16666667
THA,Thailand,South-East Asia Region,2018,BLOOD,Klebsiella pneumoniae,Ceftriaxone,2629,451,126,27.93791574
THA,Thailand,South-East Asia Region,2019,BLOOD,Klebsiella pneumoniae,Ceftriaxone,5463,603,236,39.13764511
THA,Thailand,South-East Asia Region,2020,BLOOD,Klebsiella pneumoniae,Ceftriaxone,6159,942,329,34.92569002
