Filters,,,,,,,,,,
Region filter: All,,,,,,,,,,
Infection syndrome filter: Urinary tract,,,,,,,,,,
Bacterial pathogen filter: Klebsiella pneumoniae,,,,,,,,,,
Antibiotic filter: Meropenem,,,,,,,,,,
,,,,,,,,,,
Data for time series,,,,,,,,,,
Year,Specimen,PathogenName,AbTargets,Min,Q1,Median,Q3,Max,,
2017,URINE,Klebsiella pneumoniae,Meropenem,0,0.465855445,5.172018952,13.70311394,20,,
2018,URINE,Klebsiella pneumoniae,Meropenem,0.174927114,0.488424226,5.148121387,14.77601633,24.12280702,,
2019,URINE,Klebsiella pneumoniae,Meropenem,0.175981708,0.406536836,3.691295528,15.40532645,22.50324254,,
2020,URINE,Klebsiella pneumoniae,Meropenem,0.096061479,0.311382289,4.194083082,17.60994453,24.22573985,,
,,,,,,,,,,
,,,,,,,,,,
Data for line plots for individual CTAs,,,,,,,,,,
Iso3,CountryTerritoryArea,WHORegionName,Year,Specimen,PathogenName,AbTargets,TotalSpecimenIsolates,InterpretableAST,Resistant,PercentResistant
SAU,Saudi Arabia,Eastern Mediterranean Region,2018,URINE,Klebsiella pneumoniae,Meropenem,5627,1579,348,22.03926536
SAU,Saudi Arabia,Eastern Mediterranean Region,2019,URINE,Klebsiella pneumoniae,Meropenem,5587,1542,347,22.50324254
SAU,Saudi Arabia,Eastern Mediterranean Region,2020,URINE,Klebsiella pneumoniae,Meropenem,4464,1453,352,24.22573985
SWE,Sweden,European Region,2017,URINE,Klebsiella pneumoniae,Meropenem,140606,3045,3,0.098522167
SWE,Sweden,European Region,2018,URINE,Klebsiella pneumoniae,Meropenem,115520,1715,3,0.174927114
SWE,Sweden,European Region,2019,URINE,Klebsiella pneumoniae,Meropenem,229294,5356,18,0.336071695
SWE,Sweden,European Region,2020,URINE,Klebsiella pneumoniae,Meropenem,441656,12546,22,0.175354695
THA,Thailand,South-East Asia Region,2017,URINE,Klebsiella pneumoniae,Meropenem,2250,314,50,15.92356688
THA,Thailand,South-East Asia Region,2018,URINE,Klebsiella pneumoniae,Meropenem,4301,577,95,16.4644714
THA,Thailand,South-East Asia Region,2019,URINE,Klebsiella pneumoniae,Meropenem,9011,1674,281,16.78614098
THA,Thailand,South-East Asia Region,2020,URINE,Klebsiella pneumoniae,Meropenem,11131,2426,425,17.51854905
