Filters,,,,,,,,,,
Region filter: All,,,,,,,,,,
Infection syndrome filter: Bloodstream,,,,,,,,,,
Bacterial pathogen filter: Escherichia coli,,,,,,,,,,
Antibiotic filter: Ampicillin,,,,,,,,,,
,,,,,,,,,,
Data for time series,,,,,,,,,,
Year,Specimen,PathogenName,AbTargets,Min,Q1,Median,Q3,Max,,
2017,BLOOD,Escherichia coli,Ampicillin,41.99448282,71.99283395,79.21047777,82.66440297,97.18969555,,
2018,BLOOD,Escherichia coli,Ampicillin,41.98640082,69.77035839,79.64360837,84.5718081,96.22641509,,
2019,BLOOD,Escherichia coli,Ampicillin,42.3628288,70.41173908,76.56617993,81.97915778,97.68786127,,
2020,BLOOD,Escherichia coli,Ampicillin,41.05460234,68.40206028,73.88486141,80.34113839,94.57013575,,
,,,,,,,,,,
,,,,,,,,,,
Data for line plots for individual CTAs,,,,,,,,,,
Iso3,CountryTerritoryArea,WHORegionName,Year,Specimen,PathogenName,AbTargets,TotalSpecimenIsolates,InterpretableAST,Resistant,PercentResistant
PHL,Philippines,Western Pacific Region,2019,BLOOD,Escherichia coli,Ampicillin,6468,1356,1113,82.07964602
PHL,Philippines,Western Pacific Region,2020,BLOOD,Escherichia coli,Ampicillin,4276,783,622,79.43805875
RUS,Russian Federation,European Region,2017,BLOOD,Escherichia coli,Ampicillin,321,52,45,86.53846154
RUS,Russian Federation,European Region,2018,BLOOD,Escherichia coli,Ampicillin,427,81,71,87.65432099
RUS,Russian Federation,European Region,2019,BLOOD,Escherichia coli,Ampicillin,1173,121,79,65.2892562
RUS,Russian Federation,European Region,2020,BLOOD,Escherichia coli,Ampicillin,1305,76,61,80.26315789
SAU,Saudi Arabia,Eastern Mediterranean Region,2017,BLOOD,Escherichia coli,Ampicillin,1491,344,284,82.55813953
SAU,Saudi Arabia,Eastern Mediterranean Region,2018,BLOOD,Escherichia coli,Ampicillin,2420,555,442,79.63963964
SAU,Saudi Arabia,Eastern Mediterranean Region,2019,BLOOD,Escherichia coli,Ampicillin,2528,579,448,77.37478411
SAU,Saudi Arabia,Eastern Mediterranean Region,2020,BLOOD,Escherichia coli,Ampicillin,2458,468,370,79.05982906
THA,Thailand,South-East Asia Region,2017,BLOOD,Escherichia coli,Ampicillin,1349,394,320,81.21827411
THA,Thailand,South-East Asia Region,2018,BLOOD,Escherichia coli,Ampicillin,2629,632,528,83.5443038
THA,Thailand,South-East Asia Region,2019,BLOOD,Escherichia coli,Ampicillin,5463,1141,935,81.9456617
THA,Thailand,South-East Asia Region,2020,BLOOD,Escherichia coli,Ampicillin,6159,1565,1261,80.57507987
TUN,Tunisia,Eastern Mediterranean Region,2017,BLOOD,Escherichia coli,Ampicillin,835,78,61,78.20512821
TUN,Tunisia,Eastern Mediterranean Region,2018,BLOOD,Escherichia coli,Ampicillin,1660,205,166,80.97560976
TUN,Tunisia,Eastern Mediterranean Region,2019,BLOOD,Escherichia coli,Ampicillin,932,109,86,78.89908257
TUN,Tunisia,Eastern Mediterranean Region,2020,BLOOD,Escherichia coli,Ampicillin,917,67,50,74.62686567
