Filters,,,,,,,,,,
Region filter: All,,,,,,,,,,
Infection syndrome filter: Bloodstream,,,,,,,,,,
Bacterial pathogen filter: Escherichia coli,,,,,,,,,,
Antibiotic filter: Imipenem,,,,,,,,,,
,,,,,,,,,,
Data for time series,,,,,,,,,,
Year,Specimen,PathogenName,AbTargets,Min,Q1,Median,Q3,Max,,
2017,BLOOD,Escherichia coli,Imipenem,0,0,0.387596899,1.535523051,16.89059501,,
2018,BLOOD,Escherichia coli,Imipenem,0,0.038923786,0.472095768,2.887537994,21.68141593,,
2019,BLOOD,Escherichia coli,Imipenem,0,0.094894095,1.117318436,3.63700565,27.60700948,,
2020,BLOOD,Escherichia coli,Imipenem,0,0.034772773,0.772514739,2.155252413,28.60273973,,
,,,,,,,,,,
,,,,,,,,,,
Data for line plots for individual CTAs,,,,,,,,,,
Iso3,CountryTerritoryArea,WHORegionName,Year,Specimen,PathogenName,AbTargets,TotalSpecimenIsolates,InterpretableAST,Resistant,PercentResistant
OMN,Oman,Eastern Mediterranean Region,2019,BLOOD,Escherichia coli,Imipenem,1007,354,11,3.107344633
OMN,Oman,Eastern Mediterranean Region,2020,BLOOD,Escherichia coli,Imipenem,876,17,0,0
PAK,Pakistan,Eastern Mediterranean Region,2017,BLOOD,Escherichia coli,Imipenem,2323,814,84,10.31941032
PAK,Pakistan,Eastern Mediterranean Region,2018,BLOOD,Escherichia coli,Imipenem,7410,1094,144,13.16270567
PAK,Pakistan,Eastern Mediterranean Region,2019,BLOOD,Escherichia coli,Imipenem,8980,704,140,19.88636364
PAK,Pakistan,Eastern Mediterranean Region,2020,BLOOD,Escherichia coli,Imipenem,5623,476,110,23.1092437
PHL,Philippines,Western Pacific Region,2017,BLOOD,Escherichia coli,Imipenem,5103,923,44,4.767063922
PHL,Philippines,Western Pacific Region,2018,BLOOD,Escherichia coli,Imipenem,5595,987,36,3.647416413
PHL,Philippines,Western Pacific Region,2019,BLOOD,Escherichia coli,Imipenem,6468,1206,71,5.887230514
PHL,Philippines,Western Pacific Region,2020,BLOOD,Escherichia coli,Imipenem,4276,795,56,7.044025157
RUS,Russian Federation,European Region,2017,BLOOD,Escherichia coli,Imipenem,321,52,0,0
RUS,Russian Federation,European Region,2018,BLOOD,Escherichia coli,Imipenem,427,81,0,0
RUS,Russian Federation,European Region,2019,BLOOD,Escherichia coli,Imipenem,1173,123,2,1.62601626
RUS,Russian Federation,European Region,2020,BLOOD,Escherichia coli,Imipenem,1305,104,2,1.923076923
SAU,Saudi Arabia,Eastern Mediterranean Region,2017,BLOOD,Escherichia coli,Imipenem,1491,353,12,3.399433428
SAU,Saudi Arabia,Eastern Mediterranean Region,2018,BLOOD,Escherichia coli,Imipenem,2420,527,7,1.328273245
SAU,Saudi Arabia,Eastern Mediterranean Region,2019,BLOOD,Escherichia coli,Imipenem,2528,537,6,1.117318436
SAU,Saudi Arabia,Eastern Mediterranean Region,2020,BLOOD,Escherichia coli,Imipenem,2458,449,10,2.227171492
THA,Thailand,South-East Asia Region,2017,BLOOD,Escherichia coli,Imipenem,1349,427,2,0.468384075
THA,Thailand,South-East Asia Region,2018,BLOOD,Escherichia coli,Imipenem,2629,745,6,0.805369128
THA,Thailand,South-East Asia Region,2019,BLOOD,Escherichia coli,Imipenem,5463,1834,29,1.581243184
THA,Thailand,South-East Asia Region,2020,BLOOD,Escherichia coli,Imipenem,6159,2394,33,1.378446115
TUN,Tunisia,Eastern Mediterranean Region,2017,BLOOD,Escherichia coli,Imipenem,835,77,0,0
TUN,Tunisia,Eastern Mediterranean Region,2018,BLOOD,Escherichia coli,Imipenem,1660,249,1,0.401606426
TUN,Tunisia,Eastern Mediterranean Region,2019,BLOOD,Escherichia coli,Imipenem,932,108,0,0
TUN,Tunisia,Eastern Mediterranean Region,2020,BLOOD,Escherichia coli,Imipenem,917,84,0,0
